Date,Open,High,Low,Close,Adj Close,Volume
11/9/2017,2.05314,2.17423,1.89394,1.99077,1.99077,19192200
11/10/2017,2.00773,2.06947,1.64478,1.79684,1.79684,11155000
11/11/2017,1.78628,1.91775,1.61429,1.67047,1.67047,8178150
11/12/2017,1.66889,1.6728,1.46256,1.51969,1.51969,15298700
11/13/2017,1.52601,1.73502,1.5176,1.68662,1.68662,12238800
11/14/2017,1.68928,1.73537,1.56827,1.59258,1.59258,7829600
11/15/2017,1.58777,1.62498,1.4955,1.53045,1.53045,7615500
11/16/2017,1.55619,1.68222,1.53689,1.57792,1.57792,8928640
11/17/2017,1.58005,1.58266,1.4953,1.51036,1.51036,8508840
11/18/2017,1.51136,1.67678,1.49823,1.67433,1.67433,32167300
11/19/2017,1.67336,1.70123,1.5678,1.61377,1.61377,38081700
11/20/2017,1.62559,1.66065,1.55561,1.62445,1.62445,12994500
11/21/2017,1.65817,1.65967,1.54984,1.57406,1.57406,5440790
11/22/2017,1.59049,1.62137,1.55823,1.61175,1.61175,7177000
11/23/2017,1.6106,1.61668,1.53759,1.5487,1.5487,8392640
11/24/2017,1.56953,1.82018,1.55558,1.71771,1.71771,12155400
11/25/2017,1.71697,1.95764,1.69397,1.87387,1.87387,12839900
11/26/2017,1.89474,1.93531,1.82674,1.85313,1.85313,9056850
11/27/2017,1.87083,1.94727,1.78963,1.94298,1.94298,22826600
11/28/2017,1.95885,1.95885,1.86804,1.91711,1.91711,36377700
11/29/2017,1.92434,2.05159,1.68317,1.75153,1.75153,43765500
11/30/2017,1.76144,2.05291,1.76144,1.99697,1.99697,31559500
12/1/2017,1.99695,2.13701,1.92297,2.07023,2.07023,28867200
12/2/2017,2.07706,2.11566,1.99689,2.08416,2.08416,24332700
12/3/2017,2.08541,2.38115,2.05419,2.22725,2.22725,35163500
12/4/2017,2.25809,2.57703,2.25809,2.49168,2.49168,41226200
12/5/2017,2.50181,2.73179,2.50181,2.5953,2.5953,49190000
12/6/2017,2.58043,2.77881,2.34588,2.58769,2.58769,41731500
12/7/2017,2.5494,2.91443,2.48943,2.77995,2.77995,28297900
12/8/2017,2.7661,2.86899,2.25957,2.83067,2.83067,38648500
12/9/2017,2.82602,2.86734,2.33035,2.61043,2.61043,27217000
12/10/2017,2.66134,2.69544,2.2117,2.48337,2.48337,19258500
12/11/2017,2.51302,2.82448,2.50335,2.70665,2.70665,19427000
12/12/2017,2.72645,2.7783,2.61343,2.68475,2.68475,24523200
12/13/2017,2.68708,2.87505,2.57144,2.7781,2.7781,28429500
12/14/2017,2.77344,3.15874,2.77266,3.15874,3.15874,40335300
12/15/2017,3.1567,4.41125,3.14282,3.99615,3.99615,52745900
12/16/2017,4.16847,4.72541,3.9184,4.66465,4.66465,54002400
12/17/2017,4.66934,6.75043,4.66934,5.75672,5.75672,98159600
12/18/2017,5.7924,6.22132,5.28097,5.61585,5.61585,66623700
12/19/2017,5.647,6.54532,5.57976,5.79233,5.79233,66695200
12/20/2017,5.78863,5.78863,4.93317,5.17621,5.17621,47866900
12/21/2017,5.18491,5.69816,4.81415,5.18001,5.18001,46905500
12/22/2017,5.20546,5.21274,3.51331,4.33615,4.33615,36672600
12/23/2017,4.39496,5.13451,4.30761,4.83926,4.83926,32930300
12/24/2017,4.74184,5.28568,4.19865,5.28568,5.28568,43676900
12/25/2017,5.30858,6.95522,5.25054,6.56001,6.56001,66374400
12/26/2017,6.55928,10.6221,6.49638,9.02942,9.02942,167812992
12/27/2017,9.25426,11.3022,8.48659,10.107,10.107,167808000
12/28/2017,10.1263,10.1964,8.14928,9.32141,9.32141,109298000
12/29/2017,9.31862,9.53485,8.53682,8.8076,8.8076,70849400
12/30/2017,8.71377,8.7611,7.18794,7.84101,7.84101,72933904
12/31/2017,7.76331,8.83912,7.70899,8.63558,8.63558,74927904
1/1/2018,8.62953,8.70057,7.95922,8.41461,8.41461,66422800
1/2/2018,8.4577,9.12259,8.21718,8.83777,8.83777,104789000
1/3/2018,8.77014,9.58078,8.52918,9.53588,9.53588,108852000
1/4/2018,9.44584,9.53849,8.85413,9.21399,9.21399,158819008
1/5/2018,9.14568,16.717699,9.09468,14.9172,14.9172,341504992
1/6/2018,14.8689,23.5082,14.8212,22.7598,22.7598,637020992
1/7/2018,22.7691,22.7691,18.2425,18.656799,18.656799,258050000
1/8/2018,18.6465,19.2167,15.3471,18.2609,18.2609,296617984
1/9/2018,18.174,20.320299,16.801399,17.4118,17.4118,194750000
1/10/2018,17.707899,17.707899,15.1708,17.3908,17.3908,146582000
1/11/2018,17.566601,23.1525,15.2863,21.0427,21.0427,389228000
1/12/2018,21.4758,24.9121,19.930401,22.316299,22.316299,387537984
1/13/2018,22.345301,23.666901,21.3734,22.1744,22.1744,181676000
1/14/2018,22.2535,22.2535,19.138,20.7773,20.7773,129239000
1/15/2018,20.8004,23.604799,19.3309,19.564699,19.564699,244154000
1/16/2018,19.634001,19.634001,10.435,13.8919,13.8919,399951008
1/17/2018,13.623,15.5378,9.65534,14.2032,14.2032,299411008
1/18/2018,14.2506,15.9596,13.5127,14.2804,14.2804,204899008
1/19/2018,14.3106,15.6351,13.989,14.9406,14.9406,139882000
1/20/2018,15.0342,16.652399,15.0342,16.1903,16.1903,156744992
1/21/2018,16.248899,16.248899,13.3591,14.0683,14.0683,141562000
1/22/2018,14.1987,14.4503,11.9146,13.0146,13.0146,138026000
1/23/2018,13.0015,13.9627,11.785,13.0935,13.0935,91706200
1/24/2018,13.1906,14.1906,12.7892,13.6287,13.6287,105736000
1/25/2018,13.7605,14.1374,13.065,13.2284,13.2284,105648000
1/26/2018,13.2109,13.5905,12.2947,13.2182,13.2182,113429000
1/27/2018,13.2332,13.4414,12.8942,13.253,13.253,84009400
1/28/2018,13.3017,13.8125,13.2038,13.5402,13.5402,93871104
1/29/2018,13.5454,13.6727,12.677,12.7645,12.7645,71294304
1/30/2018,12.7736,12.7736,11.0571,11.2507,11.2507,59389600
1/31/2018,11.2683,11.4132,10.5684,11.145,11.145,50435000
2/1/2018,11.1783,11.3944,8.70742,9.51584,9.51584,82984200
2/2/2018,9.40796,10.4585,7.21813,9.65229,9.65229,91468200
2/3/2018,9.69666,10.2724,8.61168,9.74968,9.74968,56556200
2/4/2018,9.74564,9.74564,8.10275,8.45864,8.45864,49990000
2/5/2018,8.42753,8.55172,6.12961,6.70503,6.70503,55276900
2/6/2018,6.80627,8.55554,5.59007,8.28885,8.28885,97189904
2/7/2018,8.31528,9.22497,7.35103,8.09501,8.09501,77970304
2/8/2018,8.09372,8.72122,8.09372,8.5955,8.5955,82496000
2/9/2018,8.60666,9.88927,8.34315,9.73046,9.73046,9284
2/10/2018,9.73273,10.3632,8.84852,9.25597,9.25597,80123200
2/11/2018,9.20087,9.34548,8.14445,8.70491,8.70491,68554600
2/12/2018,8.71145,9.40375,8.71145,9.32247,9.32247,50792600
2/13/2018,9.31767,9.34794,8.77337,8.98678,8.98678,41593400
2/14/2018,9.01591,10.6498,8.99024,10.4006,10.4006,68781600
2/15/2018,10.3907,11.2839,10.1012,10.9311,10.9311,108962000
2/16/2018,10.9149,11.2016,10.4295,11.2016,11.2016,71131800
2/17/2018,11.0765,11.8707,10.9528,11.6893,11.6893,76093504
2/18/2018,11.6926,11.7003,10.6801,10.7024,10.7024,62044700
2/19/2018,10.6668,11.1949,10.6515,11.0757,11.0757,54898800
2/20/2018,11.0913,11.1927,9.7934,9.90451,9.90451,66512400
2/21/2018,9.87767,10.1942,9.14725,9.38079,9.38079,55087600
2/22/2018,9.40474,9.80875,8.71297,8.90403,8.90403,47216100
2/23/2018,8.8734,9.73303,8.66057,9.69211,9.69211,53626800
2/24/2018,9.68752,9.83537,8.77797,9.14191,9.14191,48709200
2/25/2018,9.15324,9.49441,8.94258,9.3466,9.3466,43814500
2/26/2018,9.36926,10.065,9.13015,9.90232,9.90232,53540300
2/27/2018,9.96553,11.0962,9.81859,10.6599,10.6599,97184400
2/28/2018,10.6949,11.1828,10.3926,10.4382,10.4382,69036400
3/1/2018,10.4482,10.6714,10.3296,10.5097,10.5097,72474200
3/2/2018,10.4569,10.5404,10.142,10.2248,10.2248,46449100
3/3/2018,10.2857,10.4455,10.1251,10.2179,10.2179,40001900
3/4/2018,10.2072,10.3898,9.90116,10.3481,10.3481,37886900
3/5/2018,10.4038,10.4355,10.101,10.1105,10.1105,38605100
3/6/2018,10.1548,10.1548,9.15128,9.38438,9.38438,38182600
3/7/2018,9.39529,10.1268,8.23691,9.03488,9.03488,79740800
3/8/2018,9.03568,9.13749,8.11839,8.31044,8.31044,48535100
3/9/2018,8.26137,8.33242,7.17423,8.31307,8.31307,46893300
3/10/2018,8.26712,8.35451,7.63354,7.67166,7.67166,41645000
3/11/2018,7.64875,8.41945,7.38076,8.27238,8.27238,45451700
3/12/2018,8.29911,8.54762,7.74369,8.03927,8.03927,51188100
3/13/2018,7.99896,11.0016,7.90244,10.1152,10.1152,216111008
3/14/2018,10.13,10.6719,8.55077,8.95921,8.95921,124112000
3/15/2018,8.94456,9.40132,8.41953,9.09908,9.09908,104531000
3/16/2018,9.13251,9.39258,8.63961,9.11132,9.11132,97626000
